Measurement group identifier,Source identifier,Dataset identifier,Study identifier,Source file identifier,Disease or diseases,Source table or sheet,Measurements represented,Independent screen identifier,Relationship to other reports,Original measurement group identifier,Source link,Scientific basis for grouping
lineage:ref_radwan_downy_mildew_p6_2011:all,ref_radwan_downy_mildew_p6_2011,,,,Downy mildew,"article experiment, aggregate counts and selected resistant names",Texas P6 screen underlying the later mini-core R/S classifications,experiment:minicore_downy_mildew_p6,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PHP-2011-0323-01-RS,Original Texas P6 downy-mildew experiment underlying the 2019 mini-core R/S classification
lineage:ref_sharma_minicore_foliar_diseases_2012:anthracnose_2009_full_recovered,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,upadhyaya_minicore_anthracnose_2013_s1_xlsx,Anthracnose,122_2013_2081_MOESM1_ESM.xlsx::Sheet1 column B (2009),"The workbook provides complete 2009 anthracnose values for 243 unique IS labels, whereas both publications report 242 accessions. The published decimal values have an unspecified estimator.",experiment:sharma_minicore_anthracnose_2009_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Measurements from the 2012 ICRISAT experiment are available in the 2013 public supplement. The original method used a progressive 1-9 scale, with lower scores indicating less disease (1=no disease; 9=76-100% leaf area with lesions) and resistance defined as score <=3. The supplement reports decimal values without naming their estimator."
lineage:ref_sharma_minicore_foliar_diseases_2012:anthracnose_2010_full_recovered,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,upadhyaya_minicore_anthracnose_2013_s1_xlsx,Anthracnose,122_2013_2081_MOESM1_ESM.xlsx::Sheet1 column C (2010),"The workbook provides complete 2010 anthracnose values for 243 unique IS labels, whereas both publications report 242 accessions. The published decimal values have an unspecified estimator.",experiment:sharma_minicore_anthracnose_2009_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Measurements from the 2012 ICRISAT experiment are available in the 2013 public supplement. The original method used a progressive 1-9 scale, with lower scores indicating less disease (1=no disease; 9=76-100% leaf area with lesions) and resistance defined as score <=3. The supplement reports decimal values without naming their estimator."
lineage:ref_sharma_minicore_foliar_diseases_2012:selected38_anthracnose_2009,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,sharma_minicore_foliar_diseases_2012_pdf,Anthracnose,"ICRISAT postprint Table 2, anthracnose 2009 column",Two-replicate 2009 mean for each of 38 accessions selected for resistance to at least one of the three diseases; resistance-selected mini-core subset,experiment:sharma_minicore_anthracnose_2009_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Table 2 reports means from two replicates and 10 plants per replicate at dough stage on the progressive 1-9 severity scale; lower is better and score <=3 is resistant. The 38 accessions were selected for resistance to at least one disease, so Table 2 supports comparisons within this subset. Population summaries come from the full cohort."
lineage:ref_sharma_minicore_foliar_diseases_2012:selected38_anthracnose_2010,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,sharma_minicore_foliar_diseases_2012_pdf,Anthracnose,"ICRISAT postprint Table 2, anthracnose 2010 column",Two-replicate 2010 mean for each of 38 accessions selected for resistance to at least one of the three diseases; resistance-selected mini-core subset,experiment:sharma_minicore_anthracnose_2009_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Table 2 reports means from two replicates and 10 plants per replicate at dough stage on the progressive 1-9 severity scale; lower is better and score <=3 is resistant. The 38 accessions were selected for resistance to at least one disease, so Table 2 supports comparisons within this subset. Population summaries come from the full cohort."
lineage:ref_sharma_minicore_foliar_diseases_2012:selected38_leaf_blight_2009,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,sharma_minicore_foliar_diseases_2012_pdf,Leaf blight,"ICRISAT postprint Table 2, leaf blight 2009 column",Two-replicate 2009 mean for each of 38 accessions selected for resistance to at least one of the three diseases; resistance-selected mini-core subset,experiment:sharma_minicore_leaf_blight_2009_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Table 2 reports means from two replicates and 10 plants per replicate at dough stage on the progressive 1-9 severity scale; lower is better and score <=3 is resistant. The 38 accessions were selected for resistance to at least one disease, so Table 2 supports comparisons within this subset. Population summaries come from the full cohort."
lineage:ref_sharma_minicore_foliar_diseases_2012:selected38_leaf_blight_2010,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,sharma_minicore_foliar_diseases_2012_pdf,Leaf blight,"ICRISAT postprint Table 2, leaf blight 2010 column",Two-replicate 2010 mean for each of 38 accessions selected for resistance to at least one of the three diseases; resistance-selected mini-core subset,experiment:sharma_minicore_leaf_blight_2009_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Table 2 reports means from two replicates and 10 plants per replicate at dough stage on the progressive 1-9 severity scale; lower is better and score <=3 is resistant. The 38 accessions were selected for resistance to at least one disease, so Table 2 supports comparisons within this subset. Population summaries come from the full cohort."
lineage:ref_sharma_minicore_foliar_diseases_2012:selected38_rust_greenhouse_2010,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,sharma_minicore_foliar_diseases_2012_pdf,Rust,"ICRISAT postprint Table 2, rust (%) column","Greenhouse rust severity percentage, mean of two replicates and 10 plants per replicate, for the same resistance-selected 38 accessions; the corresponding field-rust values are not tabulated",experiment:sharma_minicore_rust_2010,Original report of these measurements,,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,"Lower rust severity is better; the source defines <=10% as resistant, 11-20% as moderately resistant, 21-50% as susceptible, and >50% as highly susceptible. The article states that six accessions were resistant in both greenhouse and field screens, but Table 2 supplies the greenhouse percentages only."
lineage:ref_tesema_ethiopia_leaf_blight_2022:all,ref_tesema_ethiopia_leaf_blight_2022,ref_tesema_ethiopia_leaf_blight_2022,ref_tesema_ethiopia_leaf_blight_2022,tesema_2022_turcicum_leaf_blight_pdf,Leaf blight,main article Tables 3 and 4; disease measurements and reaction types at two locations,252 observations reported across endpoints and environments,experiment:tesema_ethiopia_tlb_2018_two_location,Original report of these measurements,,https://doi.org/10.30574/ijsra.2022.5.2.0062,"The source uses agreement between locations to describe stability within the study. It contains malformed headers, uses both Meko 1 and Meko-1, and gives conflicting disease-progress rates in the table and prose. It also reports model standard errors and R-squared."
lineage:ref_tesso_fusarium_stalk_rot_2009:ref_tesso_fusarium_stalk_rot_2009_protocol_2001,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_protocol_2001,ref_tesso_fusarium_stalk_rot_2009_pdf,Fusarium stalk rot,main article Tables 2-4; protocol-factor marginal means and 2008 validation genotype means,40 observations reported across endpoints and environments,experiment:tesso_fusarium_stalk_rot_methods_program_2001_2002_2008,Original report of these measurements,,https://doi.org/10.5897/AJPS.9000014,The publication presents the 2001 and 2002 Fusarium verticillioides protocol experiments and the 2008 Fusarium thapsinum validation screen as one methods program. Tables 2 to 4 provide distinct results for each experiment and give factor marginal means. Table 4 labels one line RT × 2911 whereas Results uses Tx2911.
lineage:ref_tesso_fusarium_stalk_rot_2009:ref_tesso_fusarium_stalk_rot_2009_protocol_2002,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_protocol_2002,ref_tesso_fusarium_stalk_rot_2009_pdf,Fusarium stalk rot,main article Tables 2-4; protocol-factor marginal means and 2008 validation genotype means,200 observations reported across endpoints and environments,experiment:tesso_fusarium_stalk_rot_methods_program_2001_2002_2008,Original report of these measurements,,https://doi.org/10.5897/AJPS.9000014,The publication presents the 2001 and 2002 Fusarium verticillioides protocol experiments and the 2008 Fusarium thapsinum validation screen as one methods program. Tables 2 to 4 provide distinct results for each experiment and give factor marginal means. Table 4 labels one line RT × 2911 whereas Results uses Tx2911.
lineage:ref_tesso_fusarium_stalk_rot_2009:ref_tesso_fusarium_stalk_rot_2009_validation_2008,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_validation_2008,ref_tesso_fusarium_stalk_rot_2009_pdf,Fusarium stalk rot,main article Tables 2-4; protocol-factor marginal means and 2008 validation genotype means,118 observations reported across endpoints and environments,experiment:tesso_fusarium_stalk_rot_methods_program_2001_2002_2008,Original report of these measurements,,https://doi.org/10.5897/AJPS.9000014,The publication presents the 2001 and 2002 Fusarium verticillioides protocol experiments and the 2008 Fusarium thapsinum validation screen as one methods program. Tables 2 to 4 provide distinct results for each experiment and give factor marginal means. Table 4 labels one line RT × 2911 whereas Results uses Tx2911.
lineage:ref_thakur_indian_anthracnose_populations_1998:field_reaction_severity,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_field,thakur_indian_anthracnose_populations_1998_pdf,Anthracnose pathotype,main article Table 3,Mean R/MR/S reaction and 1-9 severity for 15 named differential lines at six Indian field locations over 1992-1996 (four or five years by location); unnamed local check summaries lack stable accession identifiers,experiment:thakur_indian_anthracnose_populations_1992_1996,Original report of these measurements,,https://oar.icrisat.org/1722/,"Adult plants were scored at soft-dough stage. R denotes no symptoms or chlorotic flecks, MR denotes red or necrotic spots without acervuli, and S denotes spots with acervuli. Severity is 1-9 and lower is better: 1=no lesions; 2=1-5%; 3=6-10%; 4=11-20%; 5=21-30%; 6=31-40%; 7=41-50%; 8=51-75%; 9=>75% leaf area with lesions."
lineage:ref_thakur_indian_anthracnose_populations_1998:greenhouse_latent_period,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_greenhouse,thakur_indian_anthracnose_populations_1998_pdf,Anthracnose pathotype,main article Table 5,Mean latent period in days for 16 named lines by six isolates in the same two-run greenhouse assay,experiment:thakur_indian_anthracnose_populations_1992_1996,Original report of these measurements,,https://oar.icrisat.org/1722/,Latent period is days from inoculation to the first necrotic lesion for MR reactions or first sporulating lesion for S reactions. The source provides dashes for unavailable latent-period values; all numeric summaries come from reported measurements.
lineage:ref_thakur_indian_anthracnose_populations_1998:greenhouse_reaction_severity,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_greenhouse,thakur_indian_anthracnose_populations_1998_pdf,Anthracnose pathotype,main article Table 4,"Mean R/MR/S reaction and 1-9 severity for 16 named lines by six single-lesion isolates in a seedling greenhouse assay, based on two experimental runs",experiment:thakur_indian_anthracnose_populations_1992_1996,Original report of these measurements,,https://oar.icrisat.org/1722/,Seedlings were scored 14 days after inoculation using the same reaction and severity definitions as the field assay. Shared differential lines occur in both assays. Table 3 contains field scores and Table 4 contains greenhouse scores; the source contains typographical inconsistencies.
lineage:ref_thakur_indian_anthracnose_populations_1998:greenhouse_virulence_index,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_greenhouse,thakur_indian_anthracnose_populations_1998_pdf,Anthracnose pathotype,main article Table 6,Derived virulence index for 16 lines by six isolates in the greenhouse assay,experiment:thakur_indian_anthracnose_populations_1992_1996,Measurements also reported in an earlier source,lineage:ref_thakur_indian_anthracnose_populations_1998:greenhouse_reaction_severity,https://oar.icrisat.org/1722/,"The article derives VI=[1+(virulence x aggressiveness) x latent period^-1], coding R=1, MR=2, and S=3 and incorporating the Table 5 latent period. VI is a derived summary of the same greenhouse experiment."
lineage:ref_thakur_indian_anthracnose_populations_1998:putative_pathotypes,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_pathotype_summary,thakur_indian_anthracnose_populations_1998_pdf,Anthracnose pathotype,main article Table 7,Putative P1-P6 assignments derived from field and greenhouse reactions of six selected differential lines,experiment:thakur_indian_anthracnose_populations_1992_1996,Measurements also reported in an earlier source,lineage:ref_thakur_indian_anthracnose_populations_1998:greenhouse_reaction_severity,https://oar.icrisat.org/1722/,Table 7 pathotype calls derive from the Table 3 field and Table 4 greenhouse responses from the same disease experiment.
lineage:ref_tomar_kansas_grain_mold_controls_2016:all,ref_tomar_kansas_grain_mold_controls_2016,ref_tomar_kansas_grain_mold_controls_2016,ref_tomar_kansas_grain_mold_controls_2016,ref_tomar_kansas_grain_mold_controls_2016_pdf,Grain mold,"doctoral thesis Table 3.4; eight checks by year, treatment, and grain-mold endpoint",96 observations reported across endpoints and environments,experiment:kansas_sap_f_thapsinum_2014_2015,Original report of these measurements,,https://hdl.handle.net/2097/32638,Public Table 3.4 provides exact measurements for eight checks from the 229-line association panel and marks 12 measurements as NA. The prose and source table conflict on some values. The source reports the full 229-line panel in aggregate.
lineage:ref_upadhyaya_minicore_anthracnose_2013:anthracnose_2009_recovery,ref_upadhyaya_minicore_anthracnose_2013,,,upadhyaya_minicore_anthracnose_2013_recovery_xlsx,Anthracnose,Supplementary Table S1::Sheet1 column B (2009),"Public recovery copy of the 2009 anthracnose phenotype column from the Sharma et al. 2012 experiment; 243 unique IS labels, no missing cells, while the article reports 242 accessions",experiment:sharma_minicore_anthracnose_2009_2010,Measurements also reported in an earlier source,lineage:ref_sharma_minicore_foliar_diseases_2012:anthracnose_2009_full_recovered,https://link.springer.com/article/10.1007/s00122-013-2081-1,The 2013 article cites Sharma et al. 2012 for phenotyping and reuses those year-specific measurements for association analysis. The public source table reproduces year-specific disease measurements from the original experiment.
lineage:ref_upadhyaya_minicore_anthracnose_2013:anthracnose_2010_recovery,ref_upadhyaya_minicore_anthracnose_2013,,,upadhyaya_minicore_anthracnose_2013_recovery_xlsx,Anthracnose,Supplementary Table S1::Sheet1 column C (2010),"Public recovery copy of the 2010 anthracnose phenotype column from the Sharma et al. 2012 experiment; 243 unique IS labels, no missing cells, while the article reports 242 accessions",experiment:sharma_minicore_anthracnose_2009_2010,Measurements also reported in an earlier source,lineage:ref_sharma_minicore_foliar_diseases_2012:anthracnose_2010_full_recovered,https://link.springer.com/article/10.1007/s00122-013-2081-1,The 2013 article cites Sharma et al. 2012 for phenotyping and reuses those year-specific measurements for association analysis. The public source table reproduces year-specific disease measurements from the original experiment.
lineage:senegal_head_smut_pathotype5:all,senegal_head_smut_pathotype5,senegal_head_smut_pathotype5,ahn_2024_head_smut_p5,senegal_head_smut_p5_zip_s1,Head smut P5,Supplementary Data S1.xlsx,Public experiment-level workbook available,experiment:senegal_head_smut_pathotype5,Original report of these measurements,,https://www.mdpi.com/2223-7747/13/7/977,The workbook republishes prior phenotype columns; the repeated columns derive from the same underlying measurements as the earlier report.
lineage:senegal_seedling_anthracnose:all,senegal_seedling_anthracnose,senegal_seedling_anthracnose,ahn_2022_seedling_anthracnose,senegal_seedling_anthracnose_xlsx,Anthracnose,41598_2022_16844_MOESM1_ESM.xlsx,Public accession-level repeated leaf-score workbook available,experiment:senegal_seedling_anthracnose,Original report of these measurements,,https://www.nature.com/articles/s41598-022-16844-6,Distinct seedling or excised-leaf experiment representing a different assay from the 2021 eight-isolate later-stage study
lineage:sweet_sorghum_multilocation_anthracnose:all,sweet_sorghum_multilocation_anthracnose,prom_sweet_anthracnose_2023,prom_sweet_anthracnose_2023,sweet_anthracnose_2023_s2_xlsx,Anthracnose,"Table_1_Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel.xlsx",Public accession-by-location/year workbook available,experiment:sweet_sorghum_multilocation_anthracnose,Original report of these measurements,,https://frontiersin.figshare.com/articles/dataset/Table_1_Genetic_diversity_population_structure_and_anthracnose_resistance_response_in_a_novel_sweet_sorghum_diversity_panel_xlsx/24407401,Original sweet-sorghum panel experiment
