Bibliography identifier,Title,Year,DOI,Authors,Source platforms,Matching sources in Table S1 (n),Source identifiers in Table S1,Landing URLs,Maximum reference count reported by source metadata (n),Matching source identifiers,Role in this review,Review note,Reference-list source,References captured (n)
prombib_103,"Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan sorghum core collection",2020,10.1186/s12864-020-6489-0,"Cuevas, H.E.; Prom, L.K.",Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,9,10.1186/s12864-020-6489-0; 11759763; 11759772; 11759775; 11759781; 31992189; 368083; https://openalex.org/W3005788711; https://openalex.org/W4394391601,https://doi.org/10.1186/s12864-020-6489-0; https://doi.org/10.6084/m9.figshare.11759763; https://pubmed.ncbi.nlm.nih.gov/31992189/; https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759763; https://springernature.figshare.com/articles/figure/Additional_file_2_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759772; https://springernature.figshare.com/articles/figure/Additional_file_3_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759775; https://springernature.figshare.com/articles/figure/Additional_file_4_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759781; https://www.ars.usda.gov/research/publications/publication/?seqNo115=368083,79,prom_sudan_anthracnose_2020,Linked to a source described in Table S1,,Publisher reference list,76
prombib_104,Genome-wide association analysis of anthracnose resistance response in the NPGS sweet sorghum collection,2020,,"Cuevas, H.E.; Prom, L.K.; Knoll, J.E.; Wallace, J.; Vermerris, W.",USDA-ARS TEKTRAN,1,371662,https://www.ars.usda.gov/research/publications/publication/?seqNo115=371662,0,,Bibliographic context,,Bibliographic metadata,0
prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",2020,10.1007/s10658-020-02036-3,"Prom, L.K.; Cuevas, H.E.; Ahn, E.; Isakeit, T.; Rooney, W.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1007/s10658-020-02036-3; 370073; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916304914407426; https://openalex.org/W3040082478,https://doi.org/10.1007/s10658-020-02036-3; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916304914407426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370073,92,prom_sap_grain_mold_texas_2020,Linked to a source described in Table S1,,Publisher reference list,87
prombib_106,Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14,2020,10.1534/g3.120.401121,"Cruet-Burgos, C.M.; Cuevas, H.E.; Prom, L.K.; Knoll, J.E.; Stutts, L.; Vermerris, W.",Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,5,10.1534/g3.120.401121; 11794347; 32102832; 370440; https://openalex.org/W3006977527,https://doi.org/10.1534/g3.120.401121; https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cruet-Burgos_et_al_2020/11794347; https://pubmed.ncbi.nlm.nih.gov/32102832/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370440,49,prom_sc112_ril_anthracnose_2020,Linked to a source described in Table S1,,Publisher reference list,48
prombib_107,Late growth stages of johnsongrass can act as an alternate host of Colletotrichum sublineola,2020,10.1094/php-11-19-0084-rs,"Ahn, E.; Odvody, G.; Prom, L.K.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1094/php-11-19-0084-rs; 370952; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915856091407426; https://openalex.org/W3004754023,https://doi.org/10.1094/php-11-19-0084-rs; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915856091407426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370952,17,,Bibliographic context,,Publisher reference list,17
prombib_108,"Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola.",2020,10.1038/s41598-020-79473-x,Ezekiel Ahn; G. N. Odvody; Louis K. Prom; Clint Magill,Crossref; OpenAlex; PubMed,3,10.1038/s41598-020-79473-x; 33339866; https://openalex.org/W3114599739,https://doi.org/10.1038/s41598-020-79473-x; https://pubmed.ncbi.nlm.nih.gov/33339866/,24,prom_leaf_traits_anthracnose_2020,Linked to a source described in Table S1,,Publisher reference list,24
prombib_109,Response of the set of anthracnose differentials to other foliar and panicle diseases in Niger,2020,10.32861/jac.61.1.4,"Prom, L.K.; Adamou, I.; Haougui, A.; Abdoulkadri, A.A.; Karimou, I.; Ali, O.; Magill, C.",OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,3,370940; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916168499507426; https://openalex.org/W3003332430,https://doi.org/10.32861/jac.61.1.4; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916168499507426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370940,9,prom_differentials_other_diseases_niger_2020,Linked to a source described in Table S1,,OpenAlex citation links,9
prombib_110,Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens,2020,10.9734/jeai/2020/v42i130453,"Prom, L.K.; Cuevas, H.E.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.9734/jeai/2020/v42i130453; 370098; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916168492007426; https://openalex.org/W3048550785,https://doi.org/10.9734/jeai/2020/v42i130453; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916168492007426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370098,28,prom_accession_anthracnose_grain_mold_2020,Linked to a source described in Table S1,,OpenAlex citation links,28
prombib_111,"Sorghum seed fungal community and their association with grain mold severity, seed weight, and germination rate",2020,10.32861/jac.71.14.19,"Prom, L.K.; Isakeit, T.; Cuevas, H.E.; Erattaimuthu, S.; Jacobsen, R.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.32861/jac.71.14.19; 379162; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915858772607426; https://openalex.org/W3108059130,https://doi.org/10.32861/jac.71.14.19; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915858772607426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=379162,14,prom_sap_seed_fungal_community_2020,Linked to a source described in Table S1,,OpenAlex citation links,14
prombib_112,Survey of the prevalence and incidence of foliar and panicle diseases of sorghum across production fields in Niger,2020,10.3923/ppj.2020.106.113,"Prom, L.K.; Haougui, A.; Adamou, I.; Abdoulkadri, A.A.; Karimou, I.; Ali, O.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2020.106.113; 370938; https://openalex.org/W3015861384,https://doi.org/10.3923/ppj.2020.106.113; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370938,12,prom_niger_disease_survey_2020,Linked to a source described in Table S1,,Publisher reference list,12
prombib_113,"The occurrence and distribution of sorghum diseases in major production regions of Senegal, West Africa",2020,10.3923/ppj.2021.1.10,"Prom, L.K.; Sarr, M.; Diatta, C.; Ngom, A.; Aidara, O.; Cisse, N.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2021.1.10; 379159; https://openalex.org/W3135462015,https://doi.org/10.3923/ppj.2021.1.10; https://www.ars.usda.gov/research/publications/publication/?seqNo115=379159,21,prom_senegal_disease_occurrence_2020,Linked to a source described in Table S1,,Publisher reference list,21
prombib_114,"Author Correction: Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola.",2021,10.1038/s41598-021-89272-7,Ezekiel Ahn; G. N. Odvody; Louis K. Prom; Clint Magill,Crossref; OpenAlex; PubMed,3,10.1038/s41598-021-89272-7; 33963263; https://openalex.org/W3157949691,https://doi.org/10.1038/s41598-021-89272-7; https://pubmed.ncbi.nlm.nih.gov/33963263/,0,prom_leaf_angle_correction_2021,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_115,"Correlations among grain mold severity, seed weight, and germination rate of sorghum association panel lines inoculated with Alternaria alternata, Fusarium thapsinum, and Curvularia lunata",2021,10.32861/jac.81.7.11,"Prom, L.K.; Ahn, E.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.32861/jac.81.7.11; 389001; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915617078407426; https://openalex.org/W3216090429,https://doi.org/10.32861/jac.81.7.11; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915617078407426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=389001,15,prom_sap_grain_mold_correlations_2021,Linked to a source described in Table S1,,OpenAlex citation links,15
prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,2021,10.1017/wsc.2021.31,Ezekiel Ahn; Louis K. Prom; Clint Magill,Crossref; OpenAlex; USDA NAL PubAg,3,10.1017/wsc.2021.31; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915865595207426; https://openalex.org/W3155203953,https://doi.org/10.1017/wsc.2021.31; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915865595207426,141,,Bibliographic context,,Publisher reference list,137
prombib_117,Diversity and frequency of fungal genera from sorghum lines inoculated with Alternaria alternata alone and in combination with Curvularia lunata and Fusarium thapsinum in a field infected with anthracnose,2021,10.33495/jacr_v9i11.21.166,"Prom, L.K.; Isakeit, T.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.33495/jacr_v9i11.21.166; 389215; https://openalex.org/W4210378888,https://doi.org/10.33495/jacr_v9i11.21.166; https://www.ars.usda.gov/research/publications/publication/?seqNo115=389215,0,prom_sap_fungal_diversity_2021,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_118,"Effect of Bacillus velezensis and fungicides on sorghum anthracnose in Burleson County, Texas, 2020",2021,,"Isakeit, T.; Labar, S.; Rooney, W.L.; Prom, L.K.",USDA-ARS TEKTRAN,1,380304,https://www.ars.usda.gov/research/publications/publication/?seqNo115=380304,0,,Bibliographic context,,Bibliographic metadata,0
prombib_119,Genome-wide association analysis for response of Senegalese sorghum accessions to Texas isolates of anthracnose,2021,10.1002/tpg2.20097,"Ahn, E.; Prom, L.K.; Hu, Z.; Odvody, G.; Magill, C.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,5,10.1002/tpg2.20097; 33900689; 379329; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916047830907426; https://openalex.org/W3158324397,https://doi.org/10.1002/tpg2.20097; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916047830907426; https://pubmed.ncbi.nlm.nih.gov/33900689/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=379329,52,prom_senegal_8leaf_anthracnose_2021,Linked to a source described in Table S1,,Publisher reference list,51
prombib_120,Genomic dissection of anthracnose resistance response in the sorghum nested association mapping populations,2021,,"Cuevas, H.E.; Prom, L.K.; Knoll, J.E.; Wallace, J.; Vermerris, W.; Stutts, L.",USDA-ARS TEKTRAN,1,381794,https://www.ars.usda.gov/research/publications/publication/?seqNo115=381794,0,,Bibliographic context,,Bibliographic metadata,0
prombib_121,RNA-Sequencing in Resistant (QL3) and Susceptible (Theis) Sorghum Cultivars Inoculated With Johnsongrass Isolates of Colletotrichum sublineola.,2021,10.3389/fgene.2021.722519,Purushothaman Natarajan; Ezekiel Ahn; Umesh K. Reddy; Ramasamy Perumal; Louis K. Prom; Clint Magill,Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed,7,10.3389/fgene.2021.722519; 15146379; 15146382; 15146385; 15146388; 34456979; https://openalex.org/W3187780757,https://doi.org/10.3389/fgene.2021.722519; https://frontiersin.figshare.com/articles/dataset/Table_1_RNA-Sequencing_in_Resistant_QL3_and_Susceptible_Theis_Sorghum_Cultivars_Inoculated_With_Johnsongrass_Isolates_of_Colletotrichum_sublineola_XLSX/15146382; https://frontiersin.figshare.com/articles/dataset/Table_2_RNA-Sequencing_in_Resistant_QL3_and_Susceptible_Theis_Sorghum_Cultivars_Inoculated_With_Johnsongrass_Isolates_of_Colletotrichum_sublineola_XLSX/15146385; https://frontiersin.figshare.com/articles/dataset/Table_3_RNA-Sequencing_in_Resistant_QL3_and_Susceptible_Theis_Sorghum_Cultivars_Inoculated_With_Johnsongrass_Isolates_of_Colletotrichum_sublineola_XLSX/15146388; https://frontiersin.figshare.com/articles/figure/Image_1_RNA-Sequencing_in_Resistant_QL3_and_Susceptible_Theis_Sorghum_Cultivars_Inoculated_With_Johnsongrass_Isolates_of_Colletotrichum_sublineola_PNG/15146379; https://pubmed.ncbi.nlm.nih.gov/34456979/,54,prom_rna_seq_anthracnose_2021,Linked to a source described in Table S1,,Publisher reference list,53
prombib_122,"Incidence of zonate leaf spot on sorghum accessions under disease-conducive growing conditions Burleson County, Texas",2021,10.32861/jac.81.35.38,"Prom, L.K.; Isakeit, T.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.32861/jac.81.35.38; 389217; https://openalex.org/W4200228929,https://doi.org/10.32861/jac.81.35.38; https://www.ars.usda.gov/research/publications/publication/?seqNo115=389217,15,prom_zonate_leaf_spot_2021,Linked to a source described in Table S1,,OpenAlex citation links,15
prombib_123,"Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia",2021,10.1080/03235408.2021.1988842,Binyam Tsedaley; Girma Adugna; Fikre Lemessa; Louis K. Prom,Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1080/03235408.2021.1988842; 388825; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915708759607426; https://openalex.org/W3207746946,https://doi.org/10.1080/03235408.2021.1988842; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915708759607426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=388825,33,prom_ethiopia_anthracnose_pathotypes_2021,Linked to a source described in Table S1,,Publisher reference list,33
prombib_124,"Response of sorghum accessions against newly documented pathotypes 5 and 6 of head smut pathogen, Sporisorium reilianum",2021,10.4236/ajps.2021.123028,"Prom, L.K.; Perumal, R.; Isakeit, T.; Erattaimuthu, S.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.4236/ajps.2021.123028; 379168; https://openalex.org/W3149525521,https://doi.org/10.4236/ajps.2021.123028; https://www.ars.usda.gov/research/publications/publication/?seqNo115=379168,30,prom_sap_head_smut_p5_p6_2021,Linked to a source described in Table S1,,Publisher reference list,30
prombib_125,"SNPs that identify alleles with highest effect on grain mold ratings after inoculation with Alternaria alternata or with a mixture of Alternaria alternata, Fusarium thapsinum, and Curvularia lunata",2021,,"Prom, L.K.; Ahn, E.J.; Magill, C.W.",USDA-ARS TEKTRAN,1,381329,https://www.ars.usda.gov/research/publications/publication/?seqNo115=381329,0,prom_sap_grain_mold_snp_reanalysis_2021,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_126,The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760,2021,10.1038/s41598-021-99994-3,"Cuevas, H.E.; Cruet-Burgos, C.M.; Prom, L.K.; Knoll, J.E.; Stutts, L.R.; Vermerris, W.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,5,10.1038/s41598-021-99994-3; 34654899; 382390; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916057237707426; https://openalex.org/W3207168418,https://doi.org/10.1038/s41598-021-99994-3; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916057237707426; https://pubmed.ncbi.nlm.nih.gov/34654899/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=382390,55,prom_ql3_is18760_anthracnose_inheritance_2021,Linked to a source described in Table S1,,Publisher reference list,54
prombib_127,The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola,2021,10.1016/j.pmpp.2021.101690,Ezekiel Ahn; Farrell Fan; Louis K. Prom; Gary Odvody; Clint Magill,Crossref; OpenAlex; USDA NAL PubAg,3,10.1016/j.pmpp.2021.101690; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915827621907426; https://openalex.org/W3186295704,https://doi.org/10.1016/j.pmpp.2021.101690; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915827621907426,22,prom_cultivar_isolate_anthracnose_2021,Linked to a source described in Table S1,,Publisher reference list,21
prombib_128,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum.,2022,10.3390/plants11212999,Ezekiel Ahn; Coumba Fall; Louis K. Prom; Clint Magill,Crossref; OpenAlex; PubMed,3,10.3390/plants11212999; 36365456; https://openalex.org/W4308524654,https://doi.org/10.3390/plants11212999; https://pubmed.ncbi.nlm.nih.gov/36365456/,32,prom_senegal_seedling_head_smut_p5_2022,Linked to a source described in Table S1,,Publisher reference list,32
prombib_129,"Bacillus velezensis LP16S – a potential entomopathogen for southern green stink bug, Nezara viridula (L.)",2022,10.3958/059.047.0301,"Esquivel, Jesus F.; Yeater, Kathleen M.; Medrano, Enrique G.; Prom, Louis K.",OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,3,394161; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915596051807426; https://openalex.org/W4296284837,https://doi.org/10.3958/059.047.0301; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915596051807426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=394161,19,,Bibliographic context,,Publisher reference list,33
prombib_130,Comparing the effects of grain weathering and presence of fungal communities on waxy and non-waxy sorghum hybrids grown across texas,2022,10.1002/csc2.20795,Mitchell A. Kent; Louis K. Prom; William L. Rooney,Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1002/csc2.20795; 392170; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915863628907426; https://openalex.org/W4281663114,https://doi.org/10.1002/csc2.20795; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915863628907426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=392170,39,prom_texas_hybrid_weathering_fungi_2022,Linked to a source described in Table S1,,Publisher reference list,39
prombib_131,Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance,2022,10.4236/ajps.2022.1312095,"Prom, L.K.; Cuevas, H.E.; Ahn, E.J.; Isakeit, T.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.4236/ajps.2022.1312095; 399424; https://openalex.org/W4312723515,https://doi.org/10.4236/ajps.2022.1312095; https://www.ars.usda.gov/research/publications/publication/?seqNo115=399424,25,prom_ethiopia_anthracnose_subset_2022,Linked to a source described in Table S1,,Publisher reference list,25
prombib_132,"Genome Sequence Data of Bacillus sp. Strain LP16S, Which Is Capable of Inhibiting the Growth of Multiple Sorghum Fungal Pathogens.",2022,10.1094/mpmi-10-21-0246-a,Enrique G. Medrano; Louis K. Prom,Crossref; PubMed,2,10.1094/mpmi-10-21-0246-a; 35139661,https://doi.org/10.1094/mpmi-10-21-0246-a; https://pubmed.ncbi.nlm.nih.gov/35139661/,15,,Bibliographic context,,Publisher reference list,15
prombib_133,Genome-wide association study of Senegalese sorghum seedlings responding to a Texas isolate of Colletotrichum sublineola.,2022,10.1038/s41598-022-16844-6,Ezekiel Ahn; Coumba Fall; Louis K. Prom; Clint Magill,Crossref; OpenAlex; PubMed,3,10.1038/s41598-022-16844-6; 35906277; https://openalex.org/W4288535655,https://doi.org/10.1038/s41598-022-16844-6; https://pubmed.ncbi.nlm.nih.gov/35906277/,25,senegal_seedling_anthracnose,Linked to a source described in Table S1,,Publisher reference list,25
prombib_134,Johnsongrass rhizome tissue can be infected by Colletotrichum sublineola,2022,10.1016/j.pmpp.2022.101860,Ezekiel Ahn; Coumba Fall; Farrell Fan; Louis K. Prom; Clint Magill,Crossref; OpenAlex; USDA NAL PubAg,3,10.1016/j.pmpp.2022.101860; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915974463807426; https://openalex.org/W4285400596,https://doi.org/10.1016/j.pmpp.2022.101860; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915974463807426,17,,Bibliographic context,,Publisher reference list,17
prombib_135,Response of senegalese sorghum seedlings to pathotype 5 of Sporisorium reilianum,2022,10.3390/crops2020011,Ezekiel Ahn; Louis K. Prom; Coumba Fall; Clint Magill,Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3390/crops2020011; 393570; https://openalex.org/W4225291820,https://doi.org/10.3390/crops2020011; https://www.ars.usda.gov/research/publications/publication/?seqNo115=393570,21,prom_senegal_head_smut_crops_2022,Linked to a source described in Table S1,,Publisher reference list,21
prombib_136,"Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust",2022,10.3923/ppj.2022.12.23,"Prom, L.K.; Cuevas, H.E.; Ahn, E.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2022.12.23; 389004; https://openalex.org/W4206838255,https://doi.org/10.3923/ppj.2022.12.23; https://www.ars.usda.gov/research/publications/publication/?seqNo115=389004,25,panelA_pr_multidisease,Linked to a source described in Table S1,,Publisher reference list,25
prombib_137,"A genome-wide association study of Nigerien and Senegalese sorghum germplasms of Exserohilum turcicum, the causal agent of leaf blight",2023,10.3390/plants12234010,"Prom, L.K.; Botkin, J.R.; Ahn, E.J.; Sarr, M.; Diatta, C.; Fall, C.; Magill, C.W.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,5,10.3390/plants12234010; 38068647; 409620; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916440568507426; https://openalex.org/W4389142056,https://doi.org/10.3390/plants12234010; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916440568507426; https://pubmed.ncbi.nlm.nih.gov/38068647/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=409620,50,panelB_wa_leafblight,Linked to a source described in Table S1,,Publisher reference list,50
prombib_138,"A survey of the major sorghum production regions for foliar and panicle diseases during the 2022 growing season in Senegal, West Africa",2023,10.4236/ajps.2023.148055,"Prom, L.K.; Sarr, M.P.; Diatta, C.; Sall, M.; Bodian, S.; Fall, C.; Dorego, G. S.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.4236/ajps.2023.148055; 405150; https://openalex.org/W4385705258,https://doi.org/10.4236/ajps.2023.148055; https://www.ars.usda.gov/research/publications/publication/?seqNo115=405150,36,prom_senegal_disease_survey_2023,Linked to a source described in Table S1,,Publisher reference list,36
prombib_139,Frequency of isolation of four fungal species colonizing sorghum grain collected from six lines in an anthracnose-infected field,2023,10.32861/jac.91.137.140,"Prom, L.K.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.32861/jac.91.137.140; 399423; https://openalex.org/W4316035030,https://doi.org/10.32861/jac.91.137.140; https://www.ars.usda.gov/research/publications/publication/?seqNo115=399423,23,prom_six_line_fungal_isolation_2023,Linked to a source described in Table S1,,OpenAlex citation links,23
prombib_140,Genetic diversity and classification of Colletotrichum sublineola pathotypes using a standard set of sorghum differentials,2023,10.3390/jof10010003,"Prom, L.K.; Ahn, E.J.; Perumal, R.; Cuevas, H.E.; Rooney, W.L.; Isakeit, T.S.; Magill, C.W.",Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,4,10.3390/jof10010003; 38276019; 410121; https://openalex.org/W4389993942,https://doi.org/10.3390/jof10010003; https://pubmed.ncbi.nlm.nih.gov/38276019/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=410121,54,anthracnose_pathotype_differentials,Linked to a source described in Table S1,,Publisher reference list,54
prombib_141,"Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel",2023,10.3389/fpls.2023.1249555,"Cuevas, H.E.; Knoll, J.E.; Prom, L.K.; Stutts, L.R.; Vermerris, W.",Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,7,10.3389/fpls.2023.1249555; 24407398; 24407401; 37929175; 399772; 406072; https://openalex.org/W4387822076,https://doi.org/10.3389/fpls.2023.1249555; https://frontiersin.figshare.com/articles/dataset/DataSheet_1_Genetic_diversity_population_structure_and_anthracnose_resistance_response_in_a_novel_sweet_sorghum_diversity_panel_docx/24407398; https://frontiersin.figshare.com/articles/dataset/Table_1_Genetic_diversity_population_structure_and_anthracnose_resistance_response_in_a_novel_sweet_sorghum_diversity_panel_xlsx/24407401; https://pubmed.ncbi.nlm.nih.gov/37929175/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=399772; https://www.ars.usda.gov/research/publications/publication/?seqNo115=406072,55,sweet_sorghum_multilocation_anthracnose,Linked to a source described in Table S1,,Publisher reference list,55
prombib_142,Genome-wide association study of seed morphology traits in Senegalese sorghum cultivars,2023,10.3390/plants12122344,"Ahn, E.J.; Botkin, J.; Ellur, V.; Lee, Y.; Poudel, K.; Prom, L.K.; Magill, C.W.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,5,10.3390/plants12122344; 37375969; 405027; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916398626207426; https://openalex.org/W4380990690,https://doi.org/10.3390/plants12122344; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916398626207426; https://pubmed.ncbi.nlm.nih.gov/37375969/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=405027,77,,Bibliographic context,,Publisher reference list,77
prombib_143,In vitro antagonistic action by Bacillus velezensis strain LP16S against cotton wilt pathogens,2023,10.32861/jac.93.372.375,"Prom, L.K.; Medrano, E.G.; Liu, J.",OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,3,403141; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916398659807426; https://openalex.org/W4377100689,https://doi.org/10.32861/jac.93.372.375; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916398659807426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=403141,13,,Literature context for another crop,,Literature context,
prombib_144,"Incidence, severity, and prevalence of sorghum diseases in the major production regions in Niger",2023,10.5539/jps.v12n1p48,"Prom, L.K.; Haougui, A.; Ali, B.O.; Karimou, I.; Abdoulaye, A.; Oumarou, O.H.; Basso, A.; Fall, C.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.5539/jps.v12n1p48; 402224; https://openalex.org/W4366782711,https://doi.org/10.5539/jps.v12n1p48; https://www.ars.usda.gov/research/publications/publication/?seqNo115=402224,0,prom_niger_disease_incidence_2023,Linked to a source described in Table S1,,Bibliographic metadata,0
