Source identifier,Date located,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Source file SHA-256,Published rights or license terms,Location of rights or license terms,Reuse permitted by published terms,Disease or diseases,Germplasm detail,Phenotype detail,Assay or field context,Relationship to measurements in other reports,Scientific use,Starting publication identifiers,Starting publication titles,Citation-tracing depth,Matching source identifiers
onegen_0276,2026-07-14,"Response of sorghum accessions against newly documented pathotypes 5 and 6 of head smut pathogen, Sporisorium reilianum",Response of Sorghum Accessions against Newly Documented Pathotypes 5 and 6 of Head Smut Pathogen Sporisorium reilianum (2021),10.4236/ajps.2021.123028,https://www.scirp.org/journal/paperinformation?paperid=108141,https://www.scirp.org/pdf/ajps_2021033014214825.pdf,ajps_2021033014214825.pdf,2026-07-14,070e400c63df6f221c08f8036f8802feeeb532bc56e13357c00076af90c36b03,Creative Commons Attribution 4.0,Https://www.scirp.org/journal/paperinformation?paperid=108141,Reuse permitted under the published terms,Head smut P5; Head smut P6,"29 SAP accessions in 2017 plus 38 in 2018; 67 unique, with recurring checks",Accession-level values public in main Tables 2-3,,Original two-year P5/P6 SAP screen,Quantitative analysis of accession or line responses,prombib_135; prombib_145; prombib_156; prombib_157,"Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut; Genome-wide association analysis uncovers genes associated with resistance to head smut pathotype 5 in senegalese sorghum accessions; Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina; Response of senegalese sorghum seedlings to pathotype 5 of Sporisorium reilianum",1,prom_sap_head_smut_p5_p6_2021
onegen_0277,2026-07-14,"Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA","Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA (2010)",10.1007/BF03356326,https://doi.org/10.1007/BF03356326,,main article tables,,,,Https://doi.org/10.1007/BF03356326,,Downy mildew,Chad and Uganda accessions,Disease-response values for candidate accessions across locations,,Distinct measurements from this study,Literature context,prombib_046; prombib_055; prombib_063; prombib_096; prombib_101; prombib_145; prombib_158,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA; Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut; Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew; Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina; New sources of sorghum resistant genotypes to downy mildew diseases in Uganda; Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype (P6) of Peronosclerospora sorghi Causing Downy Mildew; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,prom_chad_uganda_downy_mildew_2010
onegen_0278,2026-07-14,"Response of Sorghum Accessions from Four African Countries against Colletotrichum sublineolum, Causal Agent of Sorghum Anthracnose","Response of Sorghum Accessions from Four African Countries against Colletotrichum sublineolum, Causal Agent of Sorghum Anthracnose (2012)",10.4236/ajps.2012.31014,https://doi.org/10.4236/ajps.2012.31014,,main article tables,,,,Https://doi.org/10.4236/ajps.2012.31014,,Anthracnose,Accessions from four African countries,Disease-response values for candidate accessions,,,Literature context,prombib_061; prombib_066; prombib_069; prombib_071; prombib_086; prombib_087; prombib_089; prombib_110; prombib_123; prombib_126; prombib_131; prombib_136,"Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.; Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance; Excised leaf method for high volume evaluation of sorghum germplasm for resistance against Colletotrichum sublineolum; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14; Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose; Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760",1,prom_four_country_anthracnose_2012
onegen_0279,2026-07-14,"Response of Sorghum Accessions from Three African Countries to Anthracnose, Grain Mould and Rust","Response of Sorghum Accessions from Three African Countries to Anthracnose, Grain Mould and Rust (2022)",10.3923/ppj.2022.12.23; 10.15482/USDA.ADC/25707396.v1,https://agdatacommons.nal.usda.gov/articles/dataset/25707396,https://ndownloader.figshare.com/files/45921822,Prom_LK_Data_2017_2018_Diseaase_traits.csv,2026-07-14,b5829c926e182b709df6096cfaf6a1581106e463ac4106241f2484148d0e64d0,Public domain,Https://agdatacommons.nal.usda.gov/articles/dataset/25707396,Reuse permitted under the published terms,Anthracnose; Grain mold; rust,179 accessions with repeated observations and named checks in the public data file,"Anthracnose, grain-mold, and rust responses reported for the 2017 and 2018 field evaluations",Puerto Rico field evaluations in 2017 and 2018,Original 2017-2018 Puerto Rico phenotype experiment; 2024 correlation paper reuses these disease values,Quantitative analysis of accession or line responses,prombib_131; prombib_150; prombib_151,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Correlations among agronomic traits obtained from sorghum accessions planted in a field infected with three important fungal diseases; Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance",1,panelA_pr_multidisease
onegen_0280,2026-07-14,Response of sorghum genotypes for turcicum leaf blight [Exserohilum turcicum (Pass.) Leonard & Suggs] and agronomic performances in Southern Ethiopia,Tesema ML et al. International Journal of Science and Research Archive. 2022;5(2):77-95.,10.30574/ijsra.2022.5.2.0062,https://doi.org/10.30574/ijsra.2022.5.2.0062,https://ijsra.net/sites/default/files/fulltext_pdf/IJSRA-2022-0062.pdf,tesema_2022_turcicum_leaf_blight_10.30574_ijsra.2022.5.2.0062.pdf,2026-07-14,11b450a49ee42b4d3029cf830e6962a49993631638f0c3857a1bff216559cad4,Creative Commons Attribution 4.0,PDF first-page copyright and license statement,Reuse permitted under the published terms,Leaf blight,14 named sorghum genotypes,"Table 4 publishes location-specific incidence, final severity, AUDPC, mean severity, and reaction class","2018 open-field trials at Arba Minch and Derashe, southern Ethiopia",This Ethiopian field trial generated its own disease-response measurements.,Descriptive scientific context,prombib_137; prombib_174,"A genome-wide association study of Nigerien and Senegalese sorghum germplasms of Exserohilum turcicum, the causal agent of leaf blight; Genomic analysis of resistance to Exserohilum turcicum in Nigerien and Senegalese sorghum using GWAS and machine learning",1,
onegen_0281,2026-07-14,Response to Anthracnose Infection for a Random Selection of Sorghum Germplasm,Response to Anthracnose Infection for a Random Selection of Sorghum Germplasm,10.3923/ppj.2007.127.133,,,,2026-07-14,,,,,,,,,,Literature context,prombib_041,Effect of Host Genotypes and Weather Variables on the Severity and Temporal Dynamics of Sorghum Anthracnose in Ethiopia,1,
onegen_0282,2026-07-14,Responses of Johnsongrass Against Sorghum Anthracnose Isolates,Responses of Johnsongrass Against Sorghum Anthracnose Isolates,10.4172/2157-7471.1000442,,,,2026-07-14,,,,,,,,,,Literature context,prombib_084; prombib_108; prombib_116; prombib_135,"Defense responses against the sorghum anthracnose pathogen in leaf blade and midrib tissue of johnsongrass and sorghum; Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants; Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola.; Response of senegalese sorghum seedlings to pathotype 5 of Sporisorium reilianum",1,
onegen_0283,2026-07-14,Responses of sorghum genotypes to leaf anthracnose (Colletotrichum graminicola) under field conditions in Burkina Faso,Responses of sorghum genotypes to leaf anthracnose (Colletotrichum graminicola) under field conditions in Burkina Faso,10.1016/s0261-2194(98)80012-4,,,,2026-07-14,,,,,,,,,,Literature context,prombib_014; prombib_023; prombib_041; prombib_074; prombib_085,"Effect of Host Genotypes and Weather Variables on the Severity and Temporal Dynamics of Sorghum Anthracnose in Ethiopia; Estimation of plant health in a sorghum field infected with anthracnose using a fixed-wing unmanned aerial system; Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose; The impact of weather conditions on response of sorghum genotypes to anthracnose (Colletotrichum sublineola) infection; Variation for Anthracnose Resistance within the Sorghum Germplasm Collection from Mozambique, Africa",1,
onegen_0284,2026-07-14,Review on sorghum grain mold and its sustainable management methods through host resistance,Review on sorghum grain mold and its sustainable management methods through host resistance,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",1,
onegen_0285,2026-07-14,"Reyes L, Frederiksen RA, Thakur HJ (1969) Anthracnose incidence on grain sorghum in the South Texas Costal Bend area in 1968. In: Proceedings of the Sixth Biennial Grain Sorghum Research and Utilization Conference, Amarillo, TX. 5–7 Mar 1969. Grain Sorghum Producers Association. Lubbock, TX, pp 8–9","Reyes L, Frederiksen RA, Thakur HJ (1969) Anthracnose incidence on grain sorghum in the South Texas Costal Bend area in 1968. In: Proceedings of the Sixth Biennial Grain Sorghum Research and Utilization Conference, Amarillo, TX. 5–7 Mar 1969. Grain Sorghum Producers Association. Lubbock, TX, pp 8–9",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0286,2026-07-14,"Rodriguez-Herrera, R., 1999. Grain mold resistance in sorghum (Sorghum bicolor (L) Moench): Genetic, physical and biochemical analysis. Ph.D. Dissertation. Texas A. & M. University, College Station, TX. 143pp.","Rodriguez-Herrera, R., 1999. Grain mold resistance in sorghum (Sorghum bicolor (L) Moench): Genetic, physical and biochemical analysis. Ph.D. Dissertation. Texas A. & M. University, College Station, TX. 143pp.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_011,"Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi",1,
onegen_0287,2026-07-14,"Rodriguez-Herrera, R. Grain mold resistance in sorghum (Sorghum bicolor(L) Moench): Genetic, physical and biochemical analysis. Ph.D. Dissertation, Texas A&M, University, College Station, TX, 1999; 143 pp.","Rodriguez-Herrera, R. Grain mold resistance in sorghum (Sorghum bicolor(L) Moench): Genetic, physical and biochemical analysis. Ph.D. Dissertation, Texas A&M, University, College Station, TX, 1999; 143 pp.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_018,Role of chitinase and sormatin accumulation in the resistance of sorghum cultivars to grain mold.,1,
onegen_0288,2026-07-14,"Rosenow DT, Fredericksen RA (1982) Breeding for disease resistance in sorghum. In House LR et al (eds) Sorghum in the eighties, proceedings of the international symposium on sorghum. Pantancheru, AP, India, International Crops Research Institute for the Semi-Arid Tropics, Patancheru, India, pp 447–455","Rosenow DT, Fredericksen RA (1982) Breeding for disease resistance in sorghum. In House LR et al (eds) Sorghum in the eighties, proceedings of the international symposium on sorghum. Pantancheru, AP, India, International Crops Research Institute for the Semi-Arid Tropics, Patancheru, India, pp 447–455",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_066,Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14,1,
onegen_0289,2026-07-14,"Rosenow DT, Frederiksen RA (1982) Breeding for disease resistance in sorghum. In: House LR, Mughogho LK, Peacock JM (eds) Sorghum in the Eighties. Proc of the International Symposium on Sorghum, Pantancheru, AP, India. 2–7 Nov 1981. ICRISAT, Patancheru, AP, India, pp 447–455","Rosenow DT, Frederiksen RA (1982) Breeding for disease resistance in sorghum. In: House LR, Mughogho LK, Peacock JM (eds) Sorghum in the Eighties. Proc of the International Symposium on Sorghum, Pantancheru, AP, India. 2–7 Nov 1981. ICRISAT, Patancheru, AP, India, pp 447–455",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0290,2026-07-14,"Schuh, W., M.J. Jeger, R.A. Frederiksen, 1987: The influence of soil temperature, soil moisture, soil texture, and inoculum density on the incidence of sorghum downy mildew. Phytopathology 77, 125–128.","Schuh, W., M.J. Jeger, R.A. Frederiksen, 1987: The influence of soil temperature, soil moisture, soil texture, and inoculum density on the incidence of sorghum downy mildew. Phytopathology 77, 125–128.",10.1094/phyto-77-125,,,,2026-07-14,,,,,,,,,,Literature context,prombib_043; prombib_046; prombib_055; prombib_063,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA; Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA; Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype (P6) of Peronosclerospora sorghi Causing Downy Mildew; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0291,2026-07-14,"Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype (P6) of Peronosclerospora sorghi Causing Downy Mildew","Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype P6 of Peronosclerospora sorghi (2011)",10.1094/PHP-2011-0323-01-RS,https://apsjournals.apsnet.org/doi/10.1094/PHP-2011-0323-01-RS,,article,,,,Https://apsjournals.apsnet.org/doi/10.1094/PHP-2011-0323-01-RS,,Downy mildew,333 total with aggregate subgroup counts,Aggregate counts and selected resistant names,,Original Texas P6 downy-mildew experiment underlying the 2019 mini-core R/S classification,Literature context,prombib_055; prombib_063; prombib_096; prombib_101; prombib_162,"A machine learning approach to genome-wide association mapping of disease resistance and geographic origin in sorghum; Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA; Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut; New sources of sorghum resistant genotypes to downy mildew diseases in Uganda; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,ref_radwan_downy_mildew_p6_2011
onegen_0292,2026-07-14,"Screening exotic sorghum germplasm, hybrids and elite lines for resistance to a new virulent pathotype (P6) of Peronoslcerospora sorghi causing downy mildew","Screening exotic sorghum germplasm, hybrids and elite lines for resistance to a new virulent pathotype (P6) of Peronoslcerospora sorghi causing downy mildew",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_096,"Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut",1,
onegen_0293,2026-07-14,Screening for Ergot Resistance in Sorghum,Screening for Ergot Resistance in Sorghum,10.1094/pd-78-0873,,,,2026-07-14,,,,,,,,,,Literature context,prombib_017; prombib_021; prombib_029; prombib_047,"Ergot Response for the Sorghum Genotype IS8525; Evaluation of Sorghum Germplasm from China against Claviceps africana , Causal Agent of Sorghum Ergot; Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot; Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",1,
onegen_0294,2026-07-14,"Screening of sorghum cultivars for reaction to charcoal rot, under rainfed conditions","Screening of sorghum cultivars for reaction to charcoal rot, under rainfed conditions",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0295,2026-07-14,Screening of Sorghum Lines Against Long Smut and Grain Mold Pathogens,Screening of Sorghum Lines Against Long Smut and Grain Mold Pathogens (2017),10.3923/ijpp.2017.23.27,https://doi.org/10.3923/ijpp.2017.23.27,,main article tables,,,,Https://doi.org/10.3923/ijpp.2017.23.27,,Long smut; Grain mold,Sorghum lines,Disease-response values for candidate lines,,,Literature context,prombib_090,Response of sorghum lines and hybrids from the United States to long smut and grain mold,1,prom_lines_long_smut_grain_mold_2017
onegen_0296,2026-07-14,Screening Sorghum Accessions for Resistance against Anthracnose and Grain Mold through Inoculating with Pathogens,Screening Sorghum Accessions for Resistance against Anthracnose and Grain Mold through Inoculating with Pathogens (2020),10.9734/jeai/2020/v42i130453,https://doi.org/10.9734/jeai/2020/v42i130453,,main article tables,,,,Https://doi.org/10.9734/jeai/2020/v42i130453,,Anthracnose; Grain mold,Sorghum accessions,Disease-response values for candidate accessions,,,Literature context,prombib_136; prombib_139; prombib_140,"Frequency of isolation of four fungal species colonizing sorghum grain collected from six lines in an anthracnose-infected field; Genetic diversity and classification of Colletotrichum sublineola pathotypes using a standard set of sorghum differentials; Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust",1,prom_accession_anthracnose_grain_mold_2020
onegen_0297,2026-07-14,Screening sorghums for resistance to long smut.,Screening sorghums for resistance to long smut.,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_024; prombib_064; prombib_090,"Assessing the vulnerability of selected sorghum lines from the United States of America to long smut (Sporisorium ehrenbergii Vánky) disease; Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Response of sorghum lines and hybrids from the United States to long smut and grain mold",1,
onegen_0298,2026-07-14,Screening Techniques for Sorghum Diseases.,Screening Techniques for Sorghum Diseases.,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_096; prombib_098; prombib_105; prombib_123; prombib_132; prombib_149,"Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm; Genome Sequence Data of Bacillus sp. Strain LP16S, Which Is Capable of Inhibiting the Growth of Multiple Sorghum Fungal Pathogens.; Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut; Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia",1,
onegen_0299,2026-07-14,Screening techniques for sorghum diseases. Bulletun # 76,Screening techniques for sorghum diseases. Bulletun # 76,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_089,Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes,1,
onegen_0300,2026-07-14,"Screening Techniques for Sorghum Diseases, Information Bulletin # 76","Screening Techniques for Sorghum Diseases, Information Bulletin # 76",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_096,"Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut",1,
onegen_0301,2026-07-14,"Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination","Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination (2006)",10.3923/ppj.2006.106.112,https://doi.org/10.3923/ppj.2006.106.112,,main article tables,,,,Https://doi.org/10.3923/ppj.2006.106.112,,Grain mold seed mycoflora,Sorghum germplasm,"Disease-response values for candidate accessions, including mycoflora, kernel weight, and germination",,,Literature context,prombib_037; prombib_047; prombib_067; prombib_069; prombib_077; prombib_088; prombib_089; prombib_098; prombib_110; prombib_136; prombib_149,"Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm; Expression of pathogenesis-related protein PR-10 in sorghum floral tissues in response to inoculation with Fusarium thapsinum and Curvularia lunata.; Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel; Grain biodeterioration of sorghum converted lines inoculated with a mixture of Fusarium thapsinum and Curvularia lunata; Mycoflora analysis and other measured parameters of sorghum seeds collected from Puerto Rico and Mexico; Mycoflora analysis of hybrid sorghum grain collected from different locations in South Texas; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens; Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",1,prom_seed_mycoflora_pr_2006
onegen_0302,2026-07-14,Selection for Resistance to Macrophomina phaseolina and Fusarium moniliforme in Sorghum,Selection for Resistance to Macrophomina phaseolina and Fusarium moniliforme in Sorghum,10.2135/cropsci1989.0011183x002900060029x,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0303,2026-07-14,Sequencing of an Anthracnose‐Resistant Sorghum Genotype and Mapping of a Major QTL Reveal Strong Candidate Genes for Anthracnose Resistance,Sequencing of an Anthracnose‐Resistant Sorghum Genotype and Mapping of a Major QTL Reveal Strong Candidate Genes for Anthracnose Resistance,10.2135/cropsci2014.06.0430,,,,2026-07-14,,,,,,,,,,Literature context,prombib_086; prombib_097; prombib_103; prombib_106; prombib_126,"Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan sorghum core collection; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760",1,
onegen_0304,2026-07-14,"Sifuentes J, Frederiksen RA (1988) Inheritance of resistance to pathotypes 1, 2, and 3 of Peronosclerospora sorghi in sorghum. Plant Dis 72:332–333","Sifuentes J, Frederiksen RA (1988) Inheritance of resistance to pathotypes 1, 2, and 3 of Peronosclerospora sorghi in sorghum. Plant Dis 72:332–333",10.1094/pd-72-0332,,,,2026-07-14,,,,,,,,,,Literature context,prombib_063,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA",1,
onegen_0305,2026-07-14,Silicon and fungicide effects on anthracnose in moderately resistant and susceptible sorghum lines.,Silicon and fungicide effects on anthracnose in moderately resistant and susceptible sorghum lines.,10.1111/jph.12020,,,,2026-07-14,,,,,,,,,,Literature context,prombib_106; prombib_126,Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760,1,
onegen_0306,2026-07-14,"Singh M, Chaudhary K, Singal HR, Magill CW, Boora KS (2006) Identification and characterization of RAPD and SCAR markers linked to anthracnose resistance gene in sorghum [Sorghum bicolor (L.) Moench]. Euphytica 149:179–187. doi:10.1007/s10681-005-9065-4","Singh M, Chaudhary K, Singal HR, Magill CW, Boora KS (2006) Identification and characterization of RAPD and SCAR markers linked to anthracnose resistance gene in sorghum [Sorghum bicolor (L.) Moench]. Euphytica 149:179–187. doi:10.1007/s10681-005-9065-4",10.1007/s10681-005-9065-4,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0307,2026-07-14,SNP markers linked to leaf rust and grain mold resistance in sorghum,SNP markers linked to leaf rust and grain mold resistance in sorghum,10.1007/s11032-013-9883-3,,,,2026-07-14,,,,,,,,,,Literature context,prombib_168,The NPGS Sudan sorghum germplasm collection reveals a novel cluster of R genes associated with rust resistant.,1,
onegen_0308,2026-07-14,Sorghum head-bugs and grain molds in West and Central Africa: I. Host plant resistance and bug–mold interactions on sorghum grains,Sorghum head-bugs and grain molds in West and Central Africa: I. Host plant resistance and bug–mold interactions on sorghum grains,10.1016/s0261-2194(03)00066-8,,,,2026-07-14,,,,,,,,,,Literature context,prombib_030; prombib_067; prombib_069; prombib_089; prombib_098,"Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel; Leaf-footed Bug, Leptoglossus phyllopus (Hemiptera: Coreidae), as a Potential Vector of Sorghum Fungal Pathogens; Mycoflora analysis of hybrid sorghum grain collected from different locations in South Texas; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes",1,
onegen_0309,2026-07-14,"Sorghum Seed Fungal Community and Their Association with Grain Mold Severity, Seed Weight, and Germination Rate","Sorghum Seed Fungal Community and Their Association with Grain Mold Severity, Seed Weight, and Germination Rate (2020)",10.32861/jac.71.14.19,https://doi.org/10.32861/jac.71.14.19,,main article tables,,,,Https://doi.org/10.32861/jac.71.14.19,,Grain mold seed mycoflora,Sorghum Association Panel lines,,,,Literature context,prombib_130; prombib_147,Comparing the effects of grain weathering and presence of fungal communities on waxy and non-waxy sorghum hybrids grown across texas; Reaction of sorghum differentials to grain mold infection in Puerto Rico,1,prom_sap_seed_fungal_community_2020
onegen_0310,2026-07-14,Sources of Resistance to Downy Mildew in Wild and Weedy Sorghums,Sources of Resistance to Downy Mildew in Wild and Weedy Sorghums,10.2135/cropsci2002.1357,,,,2026-07-14,,,,,,,,,,Literature context,prombib_101; prombib_158,Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew; New sources of sorghum resistant genotypes to downy mildew diseases in Uganda,1,
onegen_0311,2026-07-14,Sources of Resistance to Sorghum Grain Molds,Sources of Resistance to Sorghum Grain Molds,10.1094/pd-72-0504,,,,2026-07-14,,,,,,,,,,Literature context,prombib_022; prombib_047,"Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination; Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",1,
onegen_0312,2026-07-14,Stalk strength and reaction to infection by Macrophomina phaseolina of brown midrib maize (Zea mays) and sorghum (Sorghum bicolor),Stalk strength and reaction to infection by Macrophomina phaseolina of brown midrib maize (Zea mays) and sorghum (Sorghum bicolor),10.1016/j.fcr.2010.10.015,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0313,2026-07-14,Study on inheritance and molecular markers of sorghum resistance to head smut physiological race 3.,Study on inheritance and molecular markers of sorghum resistance to head smut physiological race 3.,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_047,"Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",1,
