Source identifier,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Reuse terms reported by source,Location of rights information,Use permitted by source terms,Disease or diseases,Germplasm described,Phenotype data described,Relationship to measurements in other reports,Evidence reviewed,Role in this study
prom_senegal_anthracnose_ml_2025,Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration,Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration (2025),10.1007/s10142-025-01797-6,https://link.springer.com/article/10.1007/s10142-025-01797-6,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12712112/supplementaryFiles,PMC12712112_SupplementaryFiles.zip,2026-07-14,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s10142-025-01797-6,Source permission required for accession-level sharing,Anthracnose,Senegal panel,Machine-learning model fitted to previously reported accession-level screens,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_senegal_disease_occurrence_2020,"The Occurrence and Distribution of Sorghum Diseases in Major Production Regions of Senegal, West Africa","The Occurrence and Distribution of Sorghum Diseases in Major Production Regions of Senegal, West Africa (2020)",10.3923/ppj.2021.1.10,https://doi.org/10.3923/ppj.2021.1.10,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2021.1.10,Source permission required for accession-level sharing,Multiple sorghum diseases,Observations from individually identified production fields,Field-survey summaries provide regional disease context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_senegal_disease_survey_2023,"A Survey of the Major Sorghum Production Regions for Foliar and Panicle Diseases during the 2022 Growing Season in Senegal, West Africa","A Survey of the Major Sorghum Production Regions for Foliar and Panicle Diseases during the 2022 Growing Season in Senegal, West Africa (2023)",10.4236/ajps.2023.148055,https://doi.org/10.4236/ajps.2023.148055,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.4236/ajps.2023.148055,Source permission required for accession-level sharing,Multiple sorghum diseases,Observations from individually identified production fields,Field-survey summaries provide regional disease context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_senegal_grain_mold_long_smut_2014,"Evaluation of Selected Sorghum Lines and Hybrids for Resistance to Grain Mold and Long Smut Fungi in Senegal, West Africa","Evaluation of Selected Sorghum Lines and Hybrids for Resistance to Grain Mold and Long Smut Fungi in Senegal, West Africa (2014)",10.1094/PHP-RS-13-0128,https://doi.org/10.1094/PHP-RS-13-0128,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1094/PHP-RS-13-0128,Source permission required for accession-level sharing,Grain mold; Long smut,Lines and hybrids,Line-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_senegal_head_smut_crops_2022,Response of Senegalese Sorghum Seedlings to Pathotype 5 of Sporisorium reilianum,Response of Senegalese Sorghum Seedlings to Pathotype 5 of Sporisorium reilianum (2022),10.3390/crops2020011,https://www.mdpi.com/2673-7655/2/2/11,,main article Table 1,,Creative Commons Attribution 4.0,https://www.mdpi.com/2673-7655/2/2/11,Derived results may be shared under the stated terms,Head smut seedling spot,36 Senegal accessions plus checks,Main Table 1 publishes accession-level spot appearance and timing values,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_senegal_seed_quality_2018,Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes,Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes (2018),10.1371/journal.pone.0191877,https://plos.figshare.com/articles/dataset/Population_structure_of_the_NPGS_Senegalese_sorghum_collection_and_its_evaluation_to_identify_new_disease_resistant_genes/5888377,https://ndownloader.figshare.com/files/10489147,S1 File.xlsx,2026-07-14,Creative Commons Zero 1.0,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5812598/fullTextXML,Derived results may be shared under the stated terms,Anthracnose; Grain mold seed quality,158 accessions reported; recovered table contains 157 unique PI labels,Public accession table available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_senegal_seedling_head_smut_p5_2022,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum (2022),10.3390/plants11212999,https://www.mdpi.com/2223-7747/11/21/2999,https://mdpi-res.com/d_attachment/plants/plants-11-02999/article_deploy/plants-11-02999-s001.zip,plants-11-02999-s001.zip::plants-1948040-supplementary.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://www.mdpi.com/2223-7747/11/21/2999,Derived results may be shared under the stated terms,Head smut seedling spot,163 Senegal PI plus checks; workbook numbered items 1-167,Public plant-level workbook available,Measurements unique to this source within the reviewed literature,Descriptive results,Quantitative disease-response evidence
prom_six_line_fungal_isolation_2023,Frequency of Isolation of Four Fungal Species Colonizing Sorghum Grain Collected from Six Lines in an Anthracnose-Infected Field,Frequency of Isolation of Four Fungal Species Colonizing Sorghum Grain Collected from Six Lines in an Anthracnose-Infected Field (2023),10.32861/jac.91.137.140,https://doi.org/10.32861/jac.91.137.140,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.32861/jac.91.137.140,Source permission required for accession-level sharing,Seed mycoflora,Six sorghum lines,Fungal-isolation study used for mycological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_sorghum_disease_methods_2023,"Inoculation and Screening Methods for Major Sorghum Diseases Caused by Fungal Pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina","Inoculation and Screening Methods for Major Sorghum Diseases Caused by Fungal Pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina (2023)",10.3390/plants12091906,https://doi.org/10.3390/plants12091906,,article,,Creative Commons Attribution 4.0,https://doi.org/10.3390/plants12091906,Derived results may be shared under the stated terms,Multiple sorghum diseases,Methods review,The review describes screening methods and cites the original studies for disease measurements.,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_sudan_anthracnose_2020,"Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan Sorghum Core collection","Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan Sorghum Core collection (2020)",10.1186/s12864-020-6489-0; 10.6084/m9.figshare.11759763,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759763,https://ndownloader.figshare.com/files/21417012,12864_2020_6489_MOESM1_ESM.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759763,Derived results may be shared under the stated terms,Anthracnose,318 accessions,Public accession-by-environment table available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_sudan_grain_mold_2024,The NPGS Sudanese sorghum core collection encloses novel grain mold resistant germplasm,The NPGS Sudanese sorghum core collection encloses novel grain mold resistant germplasm (2025),10.1007/s10722-024-02039-7,https://link.springer.com/article/10.1007/s10722-024-02039-7,https://static-content.springer.com/esm/art%3A10.1007%2Fs10722-024-02039-7/MediaObjects/10722_2024_2039_MOESM1_ESM.xlsx,10722_2024_2039_MOESM1_ESM.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://link.springer.com/article/10.1007/s10722-024-02039-7,Derived results may be shared under the stated terms,Grain mold seed emergence; Seed deterioration,246 uniquely labeled PI accessions in Table S1,Public accession-level summary workbook available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_sudan_grain_mold_sources_2009,New Sources of Grain Mold Resistance among Sorghum Accessions from Sudan,"Prom LK, Erpelding JE. Tropical and Subtropical Agroecosystems 10 (2009): 457-463.",URL:https://doaj.org/article/0631ad81de1a4ab1be92e1b87d8f5266,https://doaj.org/article/0631ad81de1a4ab1be92e1b87d8f5266,https://doaj.org/article/0631ad81de1a4ab1be92e1b87d8f5266,prom_sudan_grain_mold_sources_2009.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doaj.org/article/0631ad81de1a4ab1be92e1b87d8f5266,Source permission required for accession-level sharing,Grain mold,Accession: 59; Resistant control: 2; Susceptible control: 2,The complete public table contains 252 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_sudan_rust_2025,The NPGS Sudan sorghum germplasm collection reveals a novel cluster of R genes associated with rust resistant,The NPGS Sudan sorghum germplasm collection reveals a novel cluster of R genes associated with rust resistant (2025),10.1002/tpg2.70113,https://pmc.ncbi.nlm.nih.gov/articles/PMC12438027/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12438027/supplementaryFiles,PMC12438027_SupplementaryFiles.zip::TPG2-18-e70113-s001.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC12438027/,Derived results may be shared under the stated terms,Rust,268 uniquely labeled PI accessions,Public accession-level mean/class workbook available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_sweet_sorghum_biofuel_disease_2015,Tapping the US Sweet Sorghum Collection to Identify Biofuel Germplasm,"Cuevas HE, Prom LK, Erpelding JE. Sugar Tech. 2015;17:428-438.",10.1007/s12355-014-0349-7,https://www.ars.usda.gov/research/publications/publication/?seqNo115=307914,,main article and supplementary tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/s12355-014-0349-7,Source permission required for accession-level sharing,Anthracnose; rust,925 accessions in initial evaluation; official abstract reports a selected 56-accession subset plus 17 US references in a two-year replicated trial,"Official abstract reports disease responses for the study population",Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_texas_hybrid_weathering_fungi_2022,Comparing the effects of grain weathering and presence of fungal communities on waxy and non-waxy sorghum hybrids grown across Texas,Comparing the effects of grain weathering and presence of fungal communities on waxy and non-waxy sorghum hybrids grown across Texas (2022),10.1002/csc2.20795,https://doi.org/10.1002/csc2.20795,,main article and supporting data,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1002/csc2.20795,Source permission required for accession-level sharing,Grain weathering; Seed mycoflora,Waxy and non-waxy sorghum hybrids across Texas,Study-level weathering and fungal-community results by hybrid and environment,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_three_line_anthracnose_inheritance_2018,"Inheritance of Resistance of Three Sorghum Lines to Pathotypes of Colletotrichum sublineola, Causal Agent of Anthracnose","Inheritance of Resistance of Three Sorghum Lines to Pathotypes of Colletotrichum sublineola, Causal Agent of Anthracnose (2018)",10.3923/ppj.2018.75.79,https://doi.org/10.3923/ppj.2018.75.79,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2018.75.79,Source permission required for accession-level sharing,Anthracnose pathotype,Three sorghum lines,The reviewed materials provide summarized line-by-pathotype results,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_uav_anthracnose_health_2018,Estimation of plant health in a sorghum field infected with anthracnose using a fixed-wing unmanned aerial system,Estimation of plant health in a sorghum field infected with anthracnose using a fixed-wing unmanned aerial system (2018),10.1080/15427528.2018.1535462,https://doi.org/10.1080/15427528.2018.1535462,,main article and any supporting data,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1080/15427528.2018.1535462,Source permission required for accession-level sharing,Anthracnose,Field plots and reported sorghum genotypes,Study-level disease-response and remote-sensing results by genotype or field plot,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_uganda_downy_mildew_2019,New sources of sorghum resistant genotypes to downy mildew disease in Uganda,"Kumi F, Badji A, Mwila N, Odong T, Ochwo-Ssemakula M, Tusiime G, Gibson P, Biruma M, Prom KL, Cuevas HE, Agbahoungba S, Rubaihayo P. 2019. Biodiversitas 20:3391-3397. doi:10.13057/biodiv/d201136.",10.13057/biodiv/d201136,https://doi.org/10.13057/biodiv/d201136,https://smujo.id/biodiv/article/view/4429,prom_uganda_downy_mildew_2019.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.13057/biodiv/d201136,Source permission required for accession-level sharing,Downy mildew,Introduced accession: 3; Resistant check with conflicting source identifiers: 1; Resistant check: 1; Ugandan genotype: 95,The complete public table contains 1000 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_uganda_grain_mold_anthracnose_2011,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance (2011),10.1016/j.cropro.2010.12.025,https://doi.org/10.1016/j.cropro.2010.12.025,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1016/j.cropro.2010.12.025,Source permission required for accession-level sharing,Grain mold; anthracnose,Ugandan accessions,Accession-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_us_lines_long_smut_2007,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut disease,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut disease (2007),10.1016/j.cropro.2007.03.011,https://doi.org/10.1016/j.cropro.2007.03.011,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1016/j.cropro.2007.03.011,Source permission required for accession-level sharing,Long smut,Selected US lines,Line-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_us_lines_long_smut_grain_mold_2018,Response of Sorghum Lines and Hybrids from the United States to Long Smut and Grain Mold,Prom LK et al. Journal of Agriculture and Crops 4(11) (2018): 152-156.,10.32861/jac.411.152.156,https://doi.org/10.32861/jac.411.152.156,https://doi.org/10.32861/jac.411.152.156,prom_us_lines_long_smut_grain_mold_2018.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.32861/jac.411.152.156,Derived results may be shared under the stated terms,Grain mold; Long smut,Grain mold susceptible check: 1; Other line or hybrid: 29,The complete public table contains 60 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_weather_anthracnose_genotypes_2015,The Impact of Weather Conditions on Response of Sorghum Genotypes to Anthracnose (Colletotrichum sublineola) Infection,Prom LK et al. American Journal of Experimental Agriculture 6(4) (2015): 242-250.,10.9734/AJEA/2015/14589,https://doi.org/10.9734/AJEA/2015/14589,https://doi.org/10.9734/AJEA/2015/14589,prom_weather_anthracnose_genotypes_2015.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.9734/AJEA/2015/14589,Derived results may be shared under the stated terms,Anthracnose,Accession: 68; Resistant control: 1; Susceptible control: 1,The complete public table contains 140 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_zimbabwe_anthracnose_2014,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm (2014),10.1111/pbr.12133,https://doi.org/10.1111/pbr.12133,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1111/pbr.12133,Source permission required for accession-level sharing,Anthracnose,Zimbabwe germplasm,Accession-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_zimbabwe_rust_2012,Reaction to Rust by a Subset of Sorghum Accessions from Zimbabwe,"Cuevas HE, Prom LK, Magill C. Asian Journal of Plant Pathology 6(2) (2012): 33-40.",10.3923/ajppaj.2012.33.40,https://doi.org/10.3923/ajppaj.2012.33.40,https://doi.org/10.3923/ajppaj.2012.33.40,prom_zimbabwe_rust_2012.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ajppaj.2012.33.40,Source permission required for accession-level sharing,Rust,Accession: 68,The complete public table contains 68 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_zonate_leaf_spot_2021,"Incidence of Zonate Leaf Spot on Sorghum Accessions Under Disease-Conducive Growing Conditions Burleson County, Texas","Prom LK, Isakeit T. Journal of Agriculture and Crops 8(1) (2022): 35-38.",10.32861/jac.81.35.38,https://doi.org/10.32861/jac.81.35.38,https://doi.org/10.32861/jac.81.35.38,prom_zonate_leaf_spot_2021.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.32861/jac.81.35.38,Derived results may be shared under the stated terms,Zonate leaf spot,Accession or line: 68,The complete public table contains 68 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_zonate_rough_leaf_spot_2015,Reaction of Sorghum Lines to Zonate Leaf Spot and Rough Leaf Spot,Reaction of Sorghum Lines to Zonate Leaf Spot and Rough Leaf Spot (2015),10.1094/PHP-RS-15-0040,https://doi.org/10.1094/PHP-RS-15-0040,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1094/PHP-RS-15-0040,Source permission required for accession-level sharing,Zonate leaf spot; Rough leaf spot,Sorghum lines,Candidate lines identified from disease-response results,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
ref_adeyanju_stalk_rot_2015,Genome-Wide Association Study on Resistance to Stalk Rot Diseases in Grain Sorghum,Genome-Wide Association Study on Resistance to Stalk Rot Diseases in Grain Sorghum (2015),10.1534/g3.114.016394,https://pmc.ncbi.nlm.nih.gov/articles/PMC4478546/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/supplementaryFiles,PMC4478546_SupplementaryFiles.zip::supp_g3.114.016394_FileS2.csv,2026-07-14,Creative Commons Attribution 3.0,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/fullTextXML,Derived results may be shared under the stated terms,Charcoal rot; Fusarium stalk rot,300 numeric source line identifiers,Public raw plot data and combined-environment least-square means recovered; numeric line identifiers remain separate from accession names,Distinct measurements,Descriptive results,Quantitative disease-response evidence
ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Response of sorghum genotypes to anthracnose resistance under field conditions in eastern Ethiopia,Response of sorghum genotypes to anthracnose resistance under field conditions in eastern Ethiopia (2024),10.1371/journal.pone.0316016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0316016&type=manuscript,pone.0316016.xml,2026-07-14,Creative Commons Attribution 4.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,Derived results may be shared under the stated terms,Anthracnose,49 genotypes,Complete public genotype-by-year main tables,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_aruna_population_breeding_grain_mold_2021,Development of Sorghum Genotypes for Improved Yield and Resistance to Grain Mold Using Population Breeding Approach,Aruna C et al. Frontiers in Plant Science. 2021;12:687332.,10.3389/fpls.2021.687332,https://doi.org/10.3389/fpls.2021.687332,https://doi.org/10.3389/fpls.2021.687332,ref_aruna_population_breeding_grain_mold_2021.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.3389/fpls.2021.687332,Derived results may be shared under the stated terms,Grain mold,Grain mold resistant check: 1; Grain mold susceptible check: 1; Selected population breeding derivative: 33,The complete public table contains 70 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_barbosa_brazil_downy_mildew_2004,Identification of Sources of Resistance in Sorghum to Peronosclerospora sorghi,"Barbosa FCR, Casela CR, Pfenning LH, Santos FG. Identification of sources of resistance in sorghum to Peronosclerospora sorghi. Fitopatologia Brasileira. 2005;30(5):522-524.",10.1590/S0100-41582005000500010,https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,onegen_0166_identification_of_sources_of_resistance_in_sorghum_to_peronosclerospora_sorghi.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,Source permission required for accession-level sharing,Downy mildew,Genotype with a duplicated printed label: 1; Screened genotype: 40,The complete public table contains 168 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_beshir_sudan_leaf_blight_2015,Prevalence and severity of sorghum leaf blight in the sorghum growing areas of Central Sudan,"Beshir MM, Ahmed NE, Ali AM, Babiker IH, Rubaihayo P, Okori P. 2015. Wudpecker Journal of Agricultural Research 4(4):54-60.",URL:https://www.researchgate.net/publication/301285002_Prevalence_and_severity_of_sorghum_leaf_blight_in_the_sorghum_growing_areas_of_Central_Sudan,https://www.researchgate.net/publication/301285002_Prevalence_and_severity_of_sorghum_leaf_blight_in_the_sorghum_growing_areas_of_Central_Sudan,https://repository.ruforum.org/sites/default/files/Beshir%20et%20al_2015%20Wudpeker%20Journal.pdf,ref_beshir_sudan_leaf_blight_2015.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://www.researchgate.net/publication/301285002_Prevalence_and_severity_of_sorghum_leaf_blight_in_the_sorghum_growing_areas_of_Central_Sudan,Source permission required for accession-level sharing,Leaf blight,Farmer preferred variety: 11,The complete public table contains 22 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_biruma_anthracnose_loci_2012,Two Loci in Sorghum with NB-LRR Encoding Genes Confer Resistance to Colletotrichum sublineolum,Two Loci in Sorghum with NB-LRR Encoding Genes Confer Resistance to Colletotrichum sublineolum (2012),10.1007/s00122-011-1764-8,https://link.springer.com/article/10.1007/s00122-011-1764-8,,main article and supplementary molecular data,,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s00122-011-1764-8,Source permission required for accession-level sharing,Anthracnose,Two contrasting sorghum genotypes followed by gene-silencing experiments,Mechanistic transcript-profiling and gene-silencing study used for biological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
ref_buiate_brazil_anthracnose_2009,Avaliação da resistência de genótipos de sorgo ao agente causal da antracnose,"Buiate EAS. 2009. Avaliação da resistência de genótipos de sorgo ao agente causal da antracnose. MSc dissertation, Universidade Federal de Lavras, Lavras, Brazil. 67 p.",URL:https://repositorio.ufla.br/items/58707585-2c2b-48a8-9b1c-caaf6d0f85af,https://repositorio.ufla.br/items/58707585-2c2b-48a8-9b1c-caaf6d0f85af,https://repositorio.ufla.br/items/58707585-2c2b-48a8-9b1c-caaf6d0f85af,ref_buiate_brazil_anthracnose_2009.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://repositorio.ufla.br/items/58707585-2c2b-48a8-9b1c-caaf6d0f85af,Source permission required for accession-level sharing,Anthracnose,Commercial hybrid: 5; Experimental hybrid: 51; Forage hybrid: 7; Male sterile line: 26; Resistant check: 1; Restorer line: 59; Susceptible check: 1,The complete public table contains 3600 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_costa_brazil_anthracnose_inheritance_2008,Controle genético da resistência do sorgo à antracnose foliar (Colletotrichum sublineolum),"Costa RV, Casela CR, Zambolim L, Santos FG dos, Ferreira AS. 2008. Comunicado Técnico 162. Embrapa Milho e Sorgo, Sete Lagoas. 11 p. ISSN 1679-0162.",URL:https://www.infoteca.cnptia.embrapa.br/handle/doc/491777,https://www.infoteca.cnptia.embrapa.br/handle/doc/491777,https://www.infoteca.cnptia.embrapa.br/handle/doc/491777,ref_costa_brazil_anthracnose_inheritance_2008.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://www.infoteca.cnptia.embrapa.br/handle/doc/491777,Source permission required for accession-level sharing,Anthracnose,Parent line in inheritance cross: 5,The complete public table contains 26 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_diatta_senegal_hybrids_grain_mold_2019,Development of sorghum hybrids for stable yield and resistance to grain mold for the Center and South-East of Senegal,Diatta C et al. Crop Protection. 2019;119:197-207.,10.1016/j.cropro.2019.02.001,https://ugspace.ug.edu.gh/items/37f60f1e-5c91-4442-b342-e30e2bb723f2,https://ugspace.ug.edu.gh/items/37f60f1e-5c91-4442-b342-e30e2bb723f2,ref_diatta_senegal_hybrids_grain_mold_2019.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://ugspace.ug.edu.gh/items/37f60f1e-5c91-4442-b342-e30e2bb723f2,Source permission required for accession-level sharing,Grain mold,Parent check: 1; Test hybrid: 5,The complete public table contains 6 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_erpelding_botswana_anthracnose_2011,Anthracnose Field Evaluation of Sorghum Germplasm from Botswana,Erpelding JE. Anthracnose field evaluation of sorghum germplasm from Botswana. Plant Protection Science. 2011;47(4):149-156.,10.17221/34/2010-PPS,https://doi.org/10.17221/34/2010-PPS,https://doi.org/10.17221/34/2010-PPS,erpelding_2011_botswana_anthracnose_10.17221_34_2010-PPS.pdf,2026-07-14,Creative Commons Attribution-NonCommercial 4.0,https://doi.org/10.17221/34/2010-PPS,Derived results may be shared for noncommercial use,Anthracnose,Accession: 154; Resistant control: 8; Susceptible control: 10,The complete public table contains 688 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_erpelding_burundi_anthracnose_2010,Anthracnose disease response in the Burundi sorghum germplasm collection,Erpelding JE. Anthracnose disease response in the Burundi sorghum germplasm collection. Agriculture and Biology Journal of North America. 2010;1(6):1119-1125.,10.5251/abjna.2010.1.6.1119.1125,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,onegen_0022_anthracnose_disease_response_in_the_burundi_sorghum_germplasm_collection.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,Source permission required for accession-level sharing,Anthracnose,Accession: 148; Resistant control: 5; Susceptible control: 7,The complete public table contains 640 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_erpelding_mopti_anthracnose_2010,Field Assessment of Anthracnose Disease Response for the Sorghum Germplasm Collection from the Mopti Region,Erpelding JE. Field assessment of anthracnose disease response for the sorghum germplasm collection from the Mopti region. American Journal of Agricultural and Biological Sciences. 2010;5(3):363-369.,10.3844/ajabssp.2010.363.369,https://doi.org/10.3844/ajabssp.2010.363.369,https://doi.org/10.3844/ajabssp.2010.363.369,onegen_0119_field_assessment_of_anthracnose_disease_response_for_the_sorghum_germplasm_collection_from.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3844/ajabssp.2010.363.369,Source permission required for accession-level sharing,Anthracnose,Accession: 97,The complete public table contains 388 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_erpelding_redlan_anthracnose_2007,Inheritance of Anthracnose Resistance for the Sorghum Cultivar Redlan,Erpelding JE. Inheritance of anthracnose resistance for the sorghum cultivar Redlan. Plant Pathology Journal. 2007;6(2):187-190.,10.3923/ppj.2007.187.190,https://scialert.net/fulltext/?doi=ppj.2007.187.190,https://scialert.net/fulltext/?doi=ppj.2007.187.190,onegen_0179.html,2026-07-14,Reuse terms were not stated in the materials reviewed,https://scialert.net/fulltext/?doi=ppj.2007.187.190,Source permission required for accession-level sharing,Anthracnose,Resistant parent: 1; Susceptible parent: 1,The complete public table contains 11 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
